Date,AAPL,IBM
7/12/2015,26.6967,87.6552
8/12/2015,26.6854,86.7131
9/12/2015,26.0963,85.8086
10/12/2015,26.2204,85.9153
11/12/2015,25.5456,84.5272
14/12/2015,25.3876,85.3814
15/12/2015,24.9384,86.5497
16/12/2015,25.1302,87.4919
17/12/2015,24.5976,85.8965
18/12/2015,23.9317,84.7344
21/12/2015,24.2252,85.1113
22/12/2015,24.2026,86.6377
23/12/2015,24.5141,87.0208
24/12/2015,24.3832,86.8387
28/12/2015,24.1101,86.4367
29/12/2015,24.5434,87.7997
30/12/2015,24.2229,87.5233
31/12/2015,23.7579,86.443
4/1/2016,23.7783,85.394
5/1/2016,23.1824,85.3312
6/1/2016,22.7287,84.904
7/1/2016,21.7695,83.4531
8/1/2016,21.8846,82.6805
11/1/2016,22.2389,83.6855
12/1/2016,22.5617,83.4782
13/1/2016,21.9816,82.3915
14/1/2016,22.4624,83.4845
15/1/2016,21.9229,81.6755
19/1/2016,21.8169,80.4695
20/1/2016,21.8462,76.5437
21/1/2016,21.7356,77.2032
22/1/2016,22.8912,76.9457
25/1/2016,22.4443,76.6819
26/1/2016,22.5685,77.0022
27/1/2016,21.0856,75.9784
28/1/2016,21.2368,76.7698
29/1/2016,21.9703,78.3841
1/2/2016,21.765,78.4092
2/2/2016,21.3248,77.222
3/2/2016,21.7469,78.3401
4/2/2016,21.9216,80.1805
5/2/2016,21.3361,80.7584
8/2/2016,21.5608,80.5744
9/2/2016,21.5563,78.7279
10/2/2016,21.3929,76.2658
11/2/2016,21.2635,74.781
12/2/2016,21.3293,76.8052
16/2/2016,21.9307,77.8839
17/2/2016,22.2666,80.016
18/2/2016,21.8445,84.0453
19/2/2016,21.7946,84.4451
22/2/2016,21.9852,84.8829
23/2/2016,21.4882,84.0136
24/2/2016,21.8082,84.2674
25/2/2016,21.9579,85.3462
26/2/2016,21.992,83.7788
29/2/2016,21.9421,83.1443
1/3/2016,22.8135,85.2637
2/3/2016,22.8634,86.4883
3/3/2016,23.0336,87.4402
4/3/2016,23.3763,87.4402
7/3/2016,23.1176,88.9313
8/3/2016,22.9269,88.246
9/3/2016,22.9474,89.0963
10/3/2016,22.9587,88.9567
11/3/2016,23.2061,90.3337
14/3/2016,23.2651,90.6002
15/3/2016,23.7326,90.7144
16/3/2016,24.048,91.8756
17/3/2016,24.0094,93.3033
18/3/2016,24.0366,93.3351
21/3/2016,24.0344,94.3123
22/3/2016,24.2182,93.976
23/3/2016,24.0843,92.2627
24/3/2016,23.9799,93.8808
28/3/2016,23.871,94.1663
29/3/2016,24.436,94.7564
30/3/2016,24.8627,94.1727
31/3/2016,24.7333,96.1017
1/4/2016,24.9603,96.7806
4/4/2016,25.2167,96.4951
5/4/2016,24.9194,95.1816
6/4/2016,25.1804,95.1943
7/4/2016,24.6312,94.0711
8/4/2016,24.6584,94.7691
11/4/2016,24.7401,94.7057
12/4/2016,25.0624,94.9468
13/4/2016,25.4255,95.9621
14/4/2016,25.4391,95.9177
15/4/2016,24.9285,96.273
18/4/2016,24.3907,96.787
19/4/2016,24.2613,91.3743
20/4/2016,24.3112,92.7132
21/4/2016,24.048,94.7374
22/4/2016,23.9822,94.2298
25/4/2016,23.846,94.4265
26/4/2016,23.6804,94.5978
27/4/2016,22.1985,95.4798
28/4/2016,21.52,93.3224
29/4/2016,21.2726,92.6053
2/5/2016,21.2499,92.1802
3/5/2016,21.5994,91.4568
4/5/2016,21.3747,91.533
5/5/2016,21.288,92.9416
6/5/2016,21.1692,94.3639
9/5/2016,21.1852,94.396
10/5/2016,21.3291,96.0809
11/5/2016,21.1213,95.4274
12/5/2016,20.6259,95.357
13/5/2016,20.667,94.6394
16/5/2016,21.4341,95.7542
17/5/2016,21.345,94.8188
18/5/2016,21.5893,94.396
19/5/2016,21.5071,92.8519
20/5/2016,21.74,94.3383
23/5/2016,22.0163,94.0308
24/5/2016,22.3519,95.0174
25/5/2016,22.7446,97.1829
26/5/2016,22.925,97.6634
27/5/2016,22.9113,97.9196
31/5/2016,22.7994,98.4962
1/6/2016,22.4798,97.7082
2/6/2016,22.3108,98.3425
3/6/2016,22.3565,97.9517
6/6/2016,22.5186,97.8492
7/6/2016,22.6099,98.2336
8/6/2016,22.5894,98.6628
9/6/2016,22.7515,98.2912
10/6/2016,22.5642,97.6185
13/6/2016,22.2241,96.9202
14/6/2016,22.2515,96.7792
15/6/2016,22.1784,96.5358
16/6/2016,22.272,96.7792
17/6/2016,21.7651,97.3751
20/6/2016,21.7126,98.4129
21/6/2016,21.8976,98.6948
22/6/2016,21.8154,97.9709
23/6/2016,21.9409,99.5277
24/6/2016,21.3245,93.9155
27/6/2016,21.014,91.9358
28/6/2016,21.3679,93.3453
29/6/2016,21.5528,95.1135
30/6/2016,21.8268,97.2405
1/7/2016,21.893,97.6057
5/7/2016,21.6875,97.1765
6/7/2016,21.8108,97.6185
7/7/2016,21.9044,97.7659
8/7/2016,22.0734,98.9575
11/7/2016,22.1419,99.5149
12/7/2016,22.2423,100.6104
13/7/2016,22.1167,101.2383
14/7/2016,22.5551,102.6862
15/7/2016,22.5528,102.3659
18/7/2016,22.7926,102.4171
19/7/2016,22.8017,102.2377
20/7/2016,22.8222,103.3781
21/7/2016,22.7012,102.7951
22/7/2016,22.5254,103.833
25/7/2016,22.2241,104.2046
26/7/2016,22.0711,103.865
27/7/2016,23.5049,103.6792
28/7/2016,23.8222,103.3845
29/7/2016,23.7926,102.904
1/8/2016,24.2127,103.4358
2/8/2016,23.8542,102.8784
3/8/2016,24.1533,102.9361
4/8/2016,24.3025,103.4999
5/8/2016,24.6721,104.7491
8/8/2016,24.8764,104.7104
9/8/2016,24.9774,104.5359
10/8/2016,24.7915,104.7362
11/8/2016,24.7754,105.6732
12/8/2016,24.8328,104.6522
15/8/2016,25.1312,104.607
16/8/2016,25.1082,103.8445
17/8/2016,25.0715,103.6765
18/8/2016,25.0394,104.271
19/8/2016,25.1036,103.418
22/8/2016,24.9085,103.3921
23/8/2016,24.9866,103.5601
24/8/2016,24.7983,102.7782
25/8/2016,24.6927,102.5068
26/8/2016,24.5481,102.3065
29/8/2016,24.5206,103.2112
30/8/2016,24.3324,103.0044
31/8/2016,24.3553,102.6684
1/9/2016,24.4999,103.0949
2/9/2016,24.7295,103.1013
6/9/2016,24.7226,103.6183
7/9/2016,24.8741,104.4519
8/9/2016,24.2222,102.7459
9/9/2016,23.6735,100.607
12/9/2016,24.2038,102.2871
13/9/2016,24.78,100.6845
14/9/2016,25.6569,99.5472
15/9/2016,26.5292,100.5876
16/9/2016,26.3799,99.4115
19/9/2016,26.0723,100.0771
20/9/2016,26.0701,99.8057
21/9/2016,26.0655,100.5036
22/9/2016,26.3111,100.8784
23/9/2016,25.8726,100.1482
26/9/2016,25.9117,99.502
27/9/2016,25.9599,101.3049
28/9/2016,26.1573,102.2871
29/9/2016,25.751,102.1708
30/9/2016,25.9507,102.649
3/10/2016,25.829,101.8477
4/10/2016,25.9392,101.1046
5/10/2016,25.9507,101.5052
6/10/2016,26.1435,101.376
7/10/2016,26.1825,100.5941
10/10/2016,26.6393,101.4664
11/10/2016,26.6967,100.0254
12/10/2016,26.9355,99.7023
13/10/2016,26.8528,99.334
14/10/2016,27.002,99.8057
17/10/2016,26.9837,100.0125
18/10/2016,26.9653,97.3954
19/10/2016,26.885,97.7443
20/10/2016,26.8712,97.9123
21/10/2016,26.7656,96.691
24/10/2016,27.0066,97.2985
25/10/2016,27.1443,97.4988
26/10/2016,26.5337,98.0997
27/10/2016,26.2789,99.0949
28/10/2016,26.1045,98.6167
31/10/2016,26.0632,99.3146
1/11/2016,25.5926,98.733
2/11/2016,25.6155,98.1902
3/11/2016,25.341,98.4616
4/11/2016,25.1126,98.5004
7/11/2016,25.4748,100.6264
8/11/2016,25.6248,101.1806
9/11/2016,25.5832,100.9459
10/11/2016,24.8703,104.4736
11/11/2016,25.018,105.1582
14/11/2016,24.3904,103.1629
15/11/2016,24.7134,103.4629
16/11/2016,25.3779,103.8671
17/11/2016,25.3687,104.1997
18/11/2016,25.394,104.5844
21/11/2016,25.7794,106.1363
22/11/2016,25.7955,106.0711
23/11/2016,25.664,105.6212
25/11/2016,25.7932,106.3776
28/11/2016,25.7424,107.2774
29/11/2016,25.7171,106.6319
30/11/2016,25.5002,105.7777
1/12/2016,25.2625,104.2127
2/12/2016,25.3571,104.3432
5/12/2016,25.1748,104.2258
6/12/2016,25.3687,104.5583
